Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Life_Exp,Internet_Usage,Equity_Liq,Dev_PC1
Malaysia,2004,82.7279856148,0.25,15.48,0.02,1.35,14.0327318252,0,0,0.9,111.9373690173,145.5905195454,955,210.3738221154,29.8371375248,41.67,42.12,75.55,73.48121951,42.25226563,0.3707514922,0.2429222261124201
Malaysia,2005,97.3526347368,0.41,12.81,-0.02,3.21,15.6291589559,0,0,0.66,106.5244319074,125.7663069024,1015,203.8544606294,24.7313972925,41.67,40.79,76.42,73.60060976,48.62917025,0.416734143,0.6213207708863835
Malaysia,2006,83.1476761378,0.47,12.81,0.11,4.96,17.411462466,0,0,0.95,103.6640040787,144.8026933374,1021,202.5776538541,29.3510254864,42.09,41.16,76.14,73.71143902,51.63798899,0.3849050531,1.0110559339304246
Malaysia,2007,56.6597904137,0.94,17.54,0.03,5.02,20.3581214237,0,0,0.94,101.5800751601,168.0671232417,983,192.466107554,47.5392346515,43.25,42.16,76.63,73.81826829,55.7,0.2814115749,1.3857704478370385
Malaysia,2008,75.9470789562,1.55,32.69,-0.21,1.93,23.0514567079,0,0,1.21,96.7483791621,81.9878948602,972,176.6685921257,43.5011961844,43.16,42,73.78999999999999,73.92607317,55.8,0.3858067574,1.5909390690235454
Malaysia,2009,62.647719799,0.54,31.48,-0.02,0.16,25.5958603885,0,1,3.09,111.6069114684,142.995570815,952,162.559047429,27.9506294512,42.92,37.34,72.67,74.03841463,55.9,0.3808559273,2.162523483695299
Malaysia,2010,62.4691501932,0.21,22.55,-0.12,0.18,29.0941327557,0,1,0.99,107.1227525739,160.2598047356,948,157.9450083634,28.087192534,43.58,39.62,73.34,74.15778049,56.3,0.3318526326,2.8269431586631555
Malaysia,2011,83.288998418,0.28,24.2,NA,0.1,31.7488501299,0,0,1.05,108.4259367054,132.7810761703,932,154.9377942885,32.9397532232,43.09,40.3,72.59,74.2867561,61,0.3276752137,3.4623945147978565
Malaysia,2012,81.0179412952,0.34,17.8,NA,0.14,35.2826985799,0,0,1.38,114.1246473197,148.3855034606,911,147.8418040239,26.5024612636,43.13,40.34,70.75,74.42331707,65.8,0.3692475164,3.911936341295429
Malta,1986,NA,0.86,NA,0.44,6.81,0,0,0,1.39,52.9852183053,NA,NA,138.1595322727,NA,40.22,33.22,57,74.3035122,NA,NA,NA
Malta,1987,NA,1.41,NA,0.06,6.66,0,0,0,1.36,56.1365085904,NA,NA,148.0479623943,NA,40.83,32.29,55.66,74.52446341,NA,NA,NA
Malta,1988,NA,1.31,NA,0.06,7.57,0,0,0,1.19,58.1910523259,NA,NA,150.3181747623,NA,40.83,32.83,55,74.74290244,NA,NA,NA
Malta,1989,NA,1.18,NA,-0.3,9.22,0,0,0,1.03,62.9499759531,NA,NA,154.6025226487,NA,40.42,32.16,55.25,74.96034146,NA,NA,NA
Malta,1990,NA,0.79,23.06,-0.59,8.1,0.0495818521,0,0,0.95,71.0780206926,NA,NA,164.4837376221,NA,39.55,32.83,55.58,75.17578049,0,NA,NA
Malta,1991,NA,0.61,18.37,-0.25,5.69,0.3316229736,0,0,1.41,77.1947719118,NA,NA,165.2378097696,NA,39.08,32.75,63.32,75.39019512,NA,NA,NA
Malta,1992,NA,0.4,15.45,0.01,3.52,0.2779049818,1,0,0.93,80.1234803345,NA,NA,170.4653958386,NA,41.08,31.37,77,75.83341463,NA,NA,NA
Malta,1993,NA,0.31,12.69,-0.12,3.02,0.2533874585,0,0,0.76,84.9211337509,NA,2,178.90543482,NA,42,31.33,77,76.60243902,NA,NA,NA
Malta,1994,NA,0.5,13.93,-0.06,4.2,0.4496351664,0,0,0.73,86.9667076032,NA,4,181.7019494278,NA,42.63,31.83,79.49,76.9,NA,NA,NA
Malta,1995,NA,0.55,12.39,-0.01,5.84,0.782955693,0,0,0.62,90.3339896584,NA,5,253.9766702015,NA,42.67,31.66,80.42,77.14146341,0.224995699,NA,NA
Malta,1996,96.1766958643,0.51,16.44,0.45,5.3,1.331586128,0,0,0.66,98.0155970417,NA,5,237.5700560448,NA,42,32.08,83.91,77.14146341,1.051527475,NA,NA
Malta,1997,98.7736420228,0.68,22.36,0.2,5.46,2.0361346016,0,0,0.67,94.42370103,NA,6,226.1083595978,NA,40.79,34.76,85.21,77.5902439,3.920605132,NA,NA
Malta,1998,99.9091659507,0.79,25.6,-0.04,5.35,3.1207351548,0,0,0.58,97.9028324242,NA,7,223.3065765385,NA,39.3,34.8,87,77.38780488,6.500783995,NA,NA
Malta,1999,99.18509374,0.77,24.37,0.38,4.97,4.5950012944,0,0,1.05,100.7603562866,NA,7,227.0162446872,NA,37.54,36.58,87.58,77.3,7.759798038,NA,NA
Malta,2000,100,0.71,23.32,1.79,6.24,6.6909073337,0,0,0.55,96.599537262,47.0097430658,10,245.8622494255,9.1837793245,36.96,35.21,86.25,78.2,13.11370871,NA,NA
